Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,18.950001,18.950001,18.950001,18.950001,18.950001,0
2019-01-03,18.559999,18.559999,18.559999,18.559999,18.559999,0
2019-01-04,19.230000,19.230000,19.230000,19.230000,19.230000,0
2019-01-07,19.350000,19.350000,19.350000,19.350000,19.350000,0
2019-01-08,19.410000,19.410000,19.410000,19.410000,19.410000,0
2019-01-09,19.570000,19.570000,19.570000,19.570000,19.570000,0
2019-01-10,19.580000,19.580000,19.580000,19.580000,19.580000,0
2019-01-11,19.629999,19.629999,19.629999,19.629999,19.629999,0
2019-01-14,19.760000,19.760000,19.760000,19.760000,19.760000,0
2019-01-15,19.910000,19.910000,19.910000,19.910000,19.910000,0
2019-01-16,20.290001,20.290001,20.290001,20.290001,20.290001,0
2019-01-17,20.370001,20.370001,20.370001,20.370001,20.370001,0
2019-01-18,20.740000,20.740000,20.740000,20.740000,20.740000,0
2019-01-22,20.500000,20.500000,20.500000,20.500000,20.500000,0
2019-01-23,20.400000,20.400000,20.400000,20.400000,20.400000,0
2019-01-24,20.510000,20.510000,20.510000,20.510000,20.510000,0
2019-01-25,20.730000,20.730000,20.730000,20.730000,20.730000,0
2019-01-28,20.600000,20.600000,20.600000,20.600000,20.600000,0
2019-01-29,20.520000,20.520000,20.520000,20.520000,20.520000,0
2019-01-30,20.629999,20.629999,20.629999,20.629999,20.629999,0
2019-01-31,20.480000,20.480000,20.480000,20.480000,20.480000,0
2019-02-01,20.610001,20.610001,20.610001,20.610001,20.610001,0
2019-02-04,20.740000,20.740000,20.740000,20.740000,20.740000,0
2019-02-05,20.709999,20.709999,20.709999,20.709999,20.709999,0
2019-02-06,20.639999,20.639999,20.639999,20.639999,20.639999,0
2019-02-07,20.620001,20.620001,20.620001,20.620001,20.620001,0
2019-02-08,20.549999,20.549999,20.549999,20.549999,20.549999,0
2019-02-11,20.590000,20.590000,20.590000,20.590000,20.590000,0
2019-02-12,20.889999,20.889999,20.889999,20.889999,20.889999,0
2019-02-13,20.910000,20.910000,20.910000,20.910000,20.910000,0
2019-02-14,20.760000,20.760000,20.760000,20.760000,20.760000,0
2019-02-15,21.190001,21.190001,21.190001,21.190001,21.190001,0
2019-02-19,21.240000,21.240000,21.240000,21.240000,21.240000,0
2019-02-20,21.360001,21.360001,21.360001,21.360001,21.360001,0
2019-02-21,21.250000,21.250000,21.250000,21.250000,21.250000,0
2019-02-22,21.299999,21.299999,21.299999,21.299999,21.299999,0
2019-02-25,21.340000,21.340000,21.340000,21.340000,21.340000,0
2019-02-26,21.280001,21.280001,21.280001,21.280001,21.280001,0
2019-02-27,21.420000,21.420000,21.420000,21.420000,21.420000,0
2019-02-28,21.379999,21.379999,21.379999,21.379999,21.379999,0
2019-03-01,21.540001,21.540001,21.540001,21.540001,21.540001,0
2019-03-04,21.350000,21.350000,21.350000,21.350000,21.350000,0
2019-03-05,21.309999,21.309999,21.309999,21.309999,21.309999,0
2019-03-06,21.129999,21.129999,21.129999,21.129999,21.129999,0
2019-03-07,20.889999,20.889999,20.889999,20.889999,20.889999,0
2019-03-08,20.910000,20.910000,20.910000,20.910000,20.910000,0
2019-03-11,21.170000,21.170000,21.170000,21.170000,21.170000,0
2019-03-12,21.200001,21.200001,21.200001,21.200001,21.200001,0
2019-03-13,21.400000,21.400000,21.400000,21.400000,21.400000,0
2019-03-14,21.510000,21.510000,21.510000,21.510000,21.510000,0
2019-03-15,21.639999,21.639999,21.639999,21.639999,21.639999,0
2019-03-18,21.809999,21.809999,21.809999,21.809999,21.809999,0
